Order_ID,Order_Date,Customer_Name,Country,Region,Salesperson,Category,Product,Quantity,Unit_Price,Discount,Gross_Sales,Net_Sales,Profit,Payment_Mode,Customer_Rating
ORD000001,2025-09-05,Timothy Beasley,India,North,Jamie Griffin,Clothing,T-Shirt,9,434,0.18,3906,3202.92,937.25,Credit Card,3
ORD000002,2024-02-18,Vanessa Benitez,UK,North,Stefanie Garcia,Furniture,Sofa,11,3715,0.06,40865,38413.1,5647.35,Net Banking,3
ORD000003,2025-07-21,Sarah Mcdonald,UK,West,Mark Green,Groceries,Rice,16,3992,0.11,63872,56846.08,13222.84,Debit Card,4
ORD000004,2023-12-21,Benjamin West,USA,East,Phillip Martin,Sports,Football,20,8681,0.15,173620,147577.0,49891.26,Credit Card,2
ORD000005,2023-06-04,Joshua Chapman,Canada,East,Melissa Ferguson,Electronics,Laptop,16,6513,0.05,104208,98997.6,24147.3,Credit Card,2
ORD000006,2023-03-08,Jeffrey Moore,Canada,East,Brandon Hendricks,Furniture,Sofa,14,3850,0.19,53900,43659.0,5038.16,Debit Card,1
ORD000007,2025-02-18,Corey Holt,Australia,North,Christina Becker,Sports,Cricket Bat,14,319,0.15,4466,3796.1,1310.81,Cash,1
ORD000008,2024-09-24,Patrick Scott,USA,East,Paul Johnson,Clothing,Kurta,4,6152,0.3,24608,17225.6,5143.59,Cash,1
ORD000009,2023-10-27,Michael Gonzalez,Australia,Central,Teresa Kirby,Clothing,Kurta,19,7521,0.07,142899,132896.07,27144.49,UPI,2
ORD000010,2023-06-10,Rachel Harris,UK,South,Kristi Miller,Sports,Football,18,4225,0.01,76050,75289.5,6278.1,Credit Card,3
ORD000011,2023-03-17,Rebecca Pitts,Australia,Central,Jorge Smith,Sports,Cricket Bat,17,9381,0.23,159477,122797.29,22832.82,UPI,2
ORD000012,2023-01-22,Pamela Henderson,Canada,North,Teresa Kirby,Groceries,Milk,1,1105,0.12,1105,972.4,183.96,Debit Card,4
ORD000013,2024-04-05,Melanie Mcdowell,Australia,East,Cassandra Ferguson,Sports,Football,4,1157,0.16,4628,3887.52,912.8,Net Banking,1
ORD000014,2024-10-03,Rebecca Lee,USA,Central,Teresa Kirby,Groceries,Rice,1,213,0.3,213,149.1,12.84,Net Banking,2
ORD000015,2025-09-26,Tiffany Coleman MD,Australia,Central,Kelsey Perez,Furniture,Wardrobe,4,6331,0.14,25324,21778.64,1890.75,Credit Card,5
ORD000016,2024-07-30,Cindy Reid,Canada,Central,Mark Green,Groceries,Milk,17,7088,0.23,120496,92781.92,19744.68,Cash,4
ORD000017,2025-04-13,James Thompson,Australia,South,Kristi Miller,Electronics,Monitor,18,9613,0.1,173034,155730.6,46421.37,Net Banking,1
ORD000018,2025-04-13,Evan Pearson,Canada,Central,Melissa Ferguson,Electronics,Monitor,18,7243,0.23,130374,100387.98,16313.28,Debit Card,2
ORD000019,2023-10-21,William Jones,India,East,Brittany Bailey,Sports,Cricket Bat,1,1169,0.21,1169,923.51,167.76,Net Banking,2
ORD000020,2024-04-25,David Mills,UK,South,Mr. Nathan Hernandez,Furniture,Bed,1,3705,0.1,3705,3334.5,1080.22,Credit Card,2
ORD000021,2025-03-17,Sarah Young,Canada,Central,Nicole Adkins,Electronics,Monitor,10,5248,0.21,52480,41459.2,13331.17,Credit Card,4
ORD000022,2024-10-31,Anna Moore,UK,East,Pamela Mckinney,Groceries,Rice,19,4752,0.18,90288,74036.16,21145.79,UPI,4
ORD000023,2023-05-08,Reginald Fischer,USA,South,Melissa Ferguson,Furniture,Bed,4,7734,0.1,30936,27842.4,4915.8,Cash,5
ORD000024,2024-10-05,Stephanie Barr,India,Central,Paul Johnson,Furniture,Chair,12,9023,0.08,108276,99613.92,22388.07,Credit Card,4
ORD000025,2024-04-23,Gregory Perez,Canada,North,Denise Hester,Sports,Yoga Mat,2,2192,0.0,4384,4384.0,1530.35,Credit Card,5
ORD000026,2025-06-12,Kelly Miller,Canada,East,Kelsey Perez,Groceries,Oil,13,1905,0.02,24765,24269.7,2136.84,Net Banking,4
ORD000027,2025-09-14,Tricia Kramer,Australia,North,Brittany Bailey,Sports,Dumbbells,17,9589,0.22,163013,127150.14,18300.17,Debit Card,4
ORD000028,2023-01-29,Adriana White,Australia,West,Elizabeth Campbell,Clothing,Jeans,14,3927,0.05,54978,52229.1,11536.22,UPI,1
ORD000029,2024-03-31,Frank Swanson,Australia,South,Lauren Raymond,Clothing,Shoes,14,5597,0.28,78358,56417.76,19341.29,Debit Card,4
ORD000030,2024-10-12,Stacey Ortiz,Canada,East,Brittany Bailey,Sports,Tennis Racket,20,2324,0.09,46480,42296.8,9297.31,Credit Card,1
ORD000031,2023-02-03,Kayla Morrow,UK,South,Summer Arias,Clothing,Jeans,11,5367,0.04,59037,56675.52,13321.71,Net Banking,4
ORD000032,2025-03-05,Jennifer Walker,India,Central,Nicole Adkins,Furniture,Sofa,6,2570,0.06,15420,14494.8,2824.01,Debit Card,3
ORD000033,2024-04-11,Ashley Morton,Canada,South,Jennifer Gonzales,Clothing,Shoes,10,5314,0.07,53140,49420.2,13815.87,Cash,3
ORD000034,2023-05-15,Matthew Pham,Canada,West,Julie Lopez,Electronics,Mobile,9,8773,0.3,78957,55269.9,8706.15,Net Banking,5
ORD000035,2024-01-21,Janice Johnson,Australia,South,Kristi Miller,Furniture,Bed,7,1112,0.07,7784,7239.12,1295.14,Cash,3
ORD000036,2023-03-06,Nicole Nguyen,USA,West,Melissa Ferguson,Groceries,Bread,12,8758,0.23,105096,80923.92,27448.54,Debit Card,3
ORD000037,2025-08-04,Daniel Ellis,India,Central,Kelsey Perez,Groceries,Snacks,9,5214,0.25,46926,35194.5,7213.26,Credit Card,1
ORD000038,2025-02-14,Elizabeth White,India,East,Julie Lopez,Sports,Football,12,7295,0.12,87540,77035.2,23525.16,UPI,4
ORD000039,2023-02-25,Whitney Hall,Canada,North,Sydney Kelley,Electronics,Mobile,10,1779,0.12,17790,15655.2,4845.01,Cash,3
ORD000040,2023-03-21,John Wright,Canada,South,Gina Harris,Clothing,Jacket,1,9026,0.11,9026,8033.14,749.18,Net Banking,2
ORD000041,2023-11-02,Melissa Soto,Australia,North,Sara Jones,Groceries,Rice,18,1086,0.01,19548,19352.52,6531.11,Debit Card,1
ORD000042,2025-01-05,Matthew Neal,UK,South,Stacy Good,Groceries,Bread,10,5532,0.2,55320,44256.0,11212.25,Debit Card,1
ORD000043,2025-07-14,Barbara Wright,Australia,Central,Susan Jones,Clothing,Kurta,2,6262,0.22,12524,9768.72,1223.47,Net Banking,4
ORD000044,2023-10-11,Caleb Galloway,Australia,Central,Kevin Kidd,Electronics,Monitor,11,1062,0.03,11682,11331.54,3705.5,Net Banking,2
ORD000045,2023-12-08,Alan Cameron,India,East,Kevin Kidd,Furniture,Bed,10,598,0.21,5980,4724.2,846.94,Debit Card,1
ORD000046,2024-07-15,Robert Carter,USA,South,Chad Zamora,Sports,Dumbbells,9,1371,0.27,12339,9007.47,2030.78,Net Banking,2
ORD000047,2025-03-13,James Harvey,Australia,West,Lauren Raymond,Clothing,T-Shirt,11,1561,0.05,17171,16312.45,2045.15,Net Banking,4
ORD000048,2023-11-24,Travis Sims,UK,South,Kristi Miller,Furniture,Sofa,12,7494,0.06,89928,84532.32,23041.47,Cash,4
ORD000049,2024-12-10,Marissa Wilson,Canada,West,Teresa Kirby,Electronics,Laptop,5,3776,0.29,18880,13404.8,1887.41,Debit Card,1
ORD000050,2023-01-14,Jermaine Arnold,USA,West,Kristi Miller,Electronics,Headphones,6,6327,0.0,37962,37962.0,9709.31,Credit Card,1
ORD000051,2025-08-16,William Herrera,USA,West,Kevin Ross,Furniture,Bed,18,6499,0.1,116982,105283.8,7091.08,UPI,4
ORD000052,2024-04-22,Mark Coffey,UK,South,Julie Lopez,Sports,Cricket Bat,18,4512,0.21,81216,64160.64,6886.17,Net Banking,1
ORD000053,2024-09-10,Amy Patel,Australia,East,Stacy Good,Clothing,T-Shirt,10,1563,0.06,15630,14692.2,1823.89,Credit Card,1
ORD000054,2024-09-04,Sean Lewis,UK,West,Kelli Price,Clothing,Jacket,10,7690,0.09,76900,69979.0,5034.51,UPI,2
ORD000055,2025-03-31,Thomas Foster,Australia,West,Lauren Jones,Electronics,Keyboard,8,7102,0.21,56816,44884.64,8202.81,Cash,5
ORD000056,2023-05-20,Shirley Bowman,India,East,Brittany Bailey,Groceries,Milk,9,5053,0.16,45477,38200.68,1948.21,Cash,5
ORD000057,2024-05-02,Becky Garcia,USA,Central,Timothy Yates,Sports,Yoga Mat,3,7021,0.25,21063,15797.25,3712.61,Cash,2
ORD000058,2023-10-28,Leslie Reid,India,West,Elizabeth Campbell,Sports,Football,16,9669,0.26,154704,114480.96,25437.49,Net Banking,5
ORD000059,2025-06-05,Dustin Barron,USA,North,Katherine Stevenson,Groceries,Rice,7,5172,0.07,36204,33669.72,3816.99,Credit Card,1
ORD000060,2024-02-14,Brittany Moore,Canada,South,Kelli Price,Clothing,Jacket,3,4178,0.25,12534,9400.5,658.94,Debit Card,2
ORD000061,2024-10-03,Travis Fowler,Canada,South,Barbara Sheppard,Clothing,Jeans,18,2660,0.1,47880,43092.0,11101.68,Credit Card,4
